Feature,Importance
LIMIT_BAL,280
AGE,248
EDUCATION_LIMIT,155
EDUCATION,151
PAY_AMT2,99
PAY_0,96
PAYMENT_RATIO,96
MAX_PAY_DELAY,80
PAY_AMT6,74
PAY_AMT3,69
MAX_UTILIZATION,69
STD_PAY_DELAY,67
STD_BILL_AMT,65
BILL_AMT_TREND,64
AVG_PAY_AMT,60
PAY_AMT5,60
MIN_PAY_AMT,59
PAY_AMT4,59
PAY_TO_LIMIT_RATIO,59
PAY_AMT1,58
PAY_DELAY_TREND,58
TIMES_DELAYED,56
BILL_AMT1,56
PAY_AMT_TREND,55
SEX,52
MARRIAGE,49
UTILIZATION_TREND,46
MIN_BILL_AMT,46
AGE_UTILIZATION,45
AGE_LIMIT,45
STD_PAY_AMT,44
BILL_AMT5,44
MAX_PAY_AMT,42
UTILIZATION_RATE,42
BILL_AMT4,41
MAX_BILL_AMT,30
PAY_3,29
AVG_BILL_AMT,28
PAY_6,28
BILL_AMT6,27
PAY_4,26
BILL_AMT2,26
AVG_PAY_DELAY,25
BILL_AMT3,23
PAY_2,23
PAY_5,23
NEVER_DELAYED,10
MIN_PAY_DELAY,5
PAY_DELAY_SUM,0
ALWAYS_DELAYED,0
